"0","13","1353","1998-05-27 04:51:58"
"1","19","1068","1996-01-12 04:02:48"
"2","15","869","1982-02-21 06:13:17"
"3","75","471","2016-09-09 17:55:07"
"4","56","620","2004-08-13 09:39:57"
"5","27","1214","1980-04-01 08:24:43"
"6","6","1577","1999-11-09 15:10:59"
"7","14","1757","1987-03-02 02:44:16"
"8","24","1321","2017-10-13 04:52:06"
"9","74","1418","1975-04-25 11:19:23"
"10","18","315","2000-10-15 13:13:59"
"11","7","379","1972-03-18 03:27:33"
"12","30","1484","1979-08-24 19:22:42"
"13","6","111","1979-04-28 22:23:08"
"14","1","444","2004-03-16 14:29:18"
"15","41","1890","1990-03-01 17:01:39"
"16","47","1391","2002-01-22 04:55:55"
"17","79","1874","1987-06-24 14:48:01"
"18","24","1506","2010-03-28 00:21:07"
"19","83","1994","1971-07-13 04:04:57"
"20","6","53","2010-04-20 11:22:25"
"21","85","1729","1982-11-06 10:07:02"
"22","81","139","2011-06-08 07:14:07"
"23","38","1783","1984-04-11 14:32:59"
"24","73","1518","1989-09-21 11:56:06"
"25","84","1356","1996-08-26 21:07:36"
"26","23","620","2021-12-09 05:40:11"
"27","76","587","2022-01-23 06:00:07"
"28","89","886","2011-09-20 13:50:20"
"29","91","751","1998-12-01 00:12:26"
"30","96","236","2023-11-01 09:34:44"
"31","9","576","2021-11-10 04:42:31"
"32","31","1608","2006-07-02 15:39:20"
"33","43","34","1979-06-09 01:06:31"
"34","93","1698","2000-08-27 06:20:28"
"35","1","1000","1996-07-18 06:38:48"
"36","82","1231","2009-10-25 08:50:52"
"37","11","910","1985-04-08 17:40:43"
"38","44","1018","2016-05-04 18:41:06"
"39","9","1880","1986-08-21 01:14:05"
"40","28","1934","2006-04-20 16:29:48"
"41","13","1761","1992-05-06 21:02:32"
"42","27","484","1995-12-14 20:14:57"
"43","0","1467","1987-02-17 19:07:17"
"44","10","315","2016-06-12 15:14:08"
"45","43","1816","2021-01-26 17:27:33"
"46","76","327","2023-08-10 11:58:09"
"47","2","134","1987-10-19 21:22:58"
"48","60","1158","2008-12-27 04:40:07"
"49","50","470","1974-06-15 01:07:16"
"50","25","1148","2015-11-26 18:44:58"
"51","73","178","2000-06-25 02:07:34"
"52","17","1678","1978-12-14 23:01:41"
"53","38","775","1976-06-28 13:55:07"
"54","11","568","2005-12-13 22:06:53"
"55","88","1850","1970-09-17 07:03:40"
"56","38","1577","2022-03-10 10:09:21"
"57","27","1448","2005-10-27 19:20:15"
"58","23","1351","1973-01-10 17:48:53"
"59","75","465","1986-01-19 20:04:05"
"60","41","824","2007-01-14 09:06:18"
"61","68","65","1970-02-18 23:38:08"
"62","29","1154","1990-04-28 08:29:03"
"63","1","1640","1997-07-20 12:47:29"
"64","53","180","1981-11-03 15:06:42"
"65","68","1526","1975-06-16 15:52:36"
"66","39","790","1992-08-25 14:13:07"
"67","1","1823","1977-11-26 13:05:40"
"68","68","708","2006-05-03 18:57:21"
"69","81","1253","2002-09-21 14:52:01"
"70","66","1366","1988-11-22 01:25:37"
"71","97","1356","2022-04-16 10:49:34"
"72","57","1465","1997-07-02 07:06:19"
"73","87","1368","1980-10-18 05:20:07"
"74","24","114","2012-11-18 02:45:18"
"75","63","620","1999-07-15 14:19:26"
"76","2","1201","1992-09-22 12:55:13"
"77","90","1852","1997-11-20 21:37:23"
"78","61","403","1997-10-19 22:45:12"
"79","14","1401","1972-05-08 17:56:04"
"80","54","1552","1974-11-08 23:53:37"
"81","43","949","2000-04-19 14:37:43"
"82","40","1836","2018-05-11 01:20:11"
"83","22","1531","2020-04-18 12:32:14"
"84","27","1733","1997-02-01 16:24:06"
"85","98","1169","1996-03-12 16:52:01"
"86","49","1632","1973-09-22 17:48:07"
"87","55","471","2012-09-09 05:03:38"
"88","69","333","1984-05-30 21:23:56"
"89","32","564","2019-02-19 22:26:00"
"90","87","867","2000-11-10 19:01:29"
"91","89","1087","2016-07-21 22:11:33"
"92","5","163","1987-12-28 14:09:17"
"93","95","948","1993-05-16 16:37:16"
"94","11","1169","2016-09-27 19:10:56"
"95","16","1311","2018-08-13 16:53:00"
"96","37","841","1988-02-28 19:27:27"
"97","98","1016","2014-10-14 09:08:20"
"98","75","1324","1991-10-11 08:56:01"
"99","33","1300","1987-04-11 22:50:26"
"100","58","1757","2003-12-28 10:14:52"
"101","62","1651","1994-03-06 23:59:34"
"102","60","184","1990-01-14 14:52:50"
"103","25","1642","2001-07-21 01:09:11"
"104","36","649","2014-06-22 09:00:56"
"105","65","1490","2013-01-27 21:25:50"
"106","10","1905","1979-05-13 09:26:06"
"107","57","620","2005-10-16 13:34:20"
"108","32","733","2014-02-19 21:40:25"
"109","16","764","1995-11-16 10:31:30"
"110","88","860","1975-06-02 10:45:05"
"111","48","1011","2002-08-18 07:41:14"
"112","71","1696","1984-06-15 22:50:27"
"113","56","1927","1983-10-10 19:06:01"
"114","29","1957","2000-08-26 03:08:19"
"115","22","1654","2014-05-30 01:01:30"
"116","15","1998","1990-12-04 19:38:41"
"117","51","460","1981-03-20 06:44:02"
"118","69","1693","1995-11-26 21:46:58"
"119","6","527","1987-08-24 23:56:19"
"120","64","886","1976-06-30 13:31:15"
"121","46","259","1981-09-17 20:00:46"
"122","95","1068","2003-09-18 15:24:46"
"123","81","1011","1970-12-26 04:12:03"
"124","83","1585","2006-04-08 14:34:21"
"125","39","613","2014-06-14 02:31:05"
"126","64","793","1970-11-18 19:19:20"
"127","6","1264","1985-02-21 14:02:25"
"128","71","1577","2022-10-11 19:27:59"
"129","34","721","2018-05-09 02:50:58"
"130","69","1979","2020-07-07 07:05:42"
"131","51","552","1982-01-26 09:30:54"
"132","60","292","2021-04-23 17:58:13"
"133","22","407","1992-11-17 12:25:15"
"134","31","1984","1986-03-07 06:25:06"
"135","67","1663","2002-08-03 07:00:31"
"136","98","54","2012-09-11 00:08:48"
"137","46","1128","1992-03-04 13:00:18"
"138","0","209","2002-09-09 08:26:33"
"139","71","87","1977-11-18 08:33:22"
"140","88","329","2014-10-08 10:31:43"
"141","57","496","1977-07-10 23:25:10"
"142","18","356","1992-06-07 04:25:41"
"143","42","1560","2023-03-05 02:21:47"
"144","94","1363","2008-01-11 20:53:18"
"145","91","578","1981-06-02 09:53:07"
"146","37","484","2017-05-23 08:14:53"
"147","88","1393","1977-07-10 03:58:32"
"148","13","1890","1984-02-16 18:21:20"
"149","1","684","2021-05-16 00:52:11"
"150","75","442","1979-03-06 17:58:03"
"151","95","660","2018-09-29 17:58:59"
"152","88","1859","2021-12-10 03:23:17"
"153","46","237","1981-08-20 06:43:41"
"154","11","1201","2017-07-25 21:20:06"
"155","61","699","2020-11-18 06:35:45"
"156","32","1117","1980-01-15 15:20:43"
"157","85","1575","1991-08-01 20:13:05"
"158","14","1154","2016-09-15 00:04:46"
"159","38","739","1982-01-26 12:57:49"
"160","77","1534","1977-11-19 23:18:56"
"161","26","1361","2014-11-12 23:28:54"
"162","68","1998","1995-09-18 06:17:53"
"163","20","1995","2000-11-06 02:05:17"
"164","28","1448","1989-08-29 07:01:48"
"165","15","455","2008-12-24 20:26:39"
"166","65","969","2000-09-12 03:32:56"
"167","49","206","2005-04-26 05:37:59"
"168","74","781","1972-12-30 09:10:10"
"169","65","1613","1981-12-15 13:51:21"
"170","84","1652","2023-05-31 05:28:26"
"171","45","865","1978-03-20 04:11:28"
"172","71","29","1986-07-31 15:51:02"
"173","48","1262","1998-11-14 19:41:43"
"174","48","254","1995-09-22 09:06:28"
"175","8","616","1982-12-31 20:46:06"
"176","35","610","1972-05-15 05:50:24"
"177","38","1697","2017-07-14 00:04:58"
"178","24","137","1989-08-06 00:37:59"
"179","80","1324","1984-08-22 18:41:24"
"180","3","772","1983-12-09 11:10:36"
"181","24","1454","2021-05-25 20:27:57"
"182","30","127","1971-04-13 09:33:14"
"183","9","1358","2001-01-02 17:17:45"
"184","59","260","2016-12-02 17:46:16"
"185","31","427","2013-10-27 20:21:27"
"186","18","1362","1973-01-07 07:16:41"
"187","18","89","1975-04-23 03:57:22"
"188","26","263","1978-11-24 16:45:12"
"189","7","328","2001-06-19 08:09:26"
"190","53","1978","2003-05-09 22:24:06"
"191","17","1134","2009-04-02 16:49:03"
"192","0","1629","2002-08-28 23:17:01"
"193","78","1404","1974-06-05 11:49:33"
"194","73","1735","2015-09-12 20:01:49"
"195","74","327","1983-12-12 03:54:46"
"196","65","760","2012-04-28 20:09:12"
"197","85","1410","1983-03-12 07:19:49"
"198","68","652","1997-09-09 06:18:52"
"199","45","1242","2019-02-12 21:34:52"
"200","33","1905","2005-02-21 09:57:47"
"201","96","643","1980-12-14 09:13:08"
"202","94","335","2015-10-19 16:47:47"
"203","39","805","2011-12-25 10:39:30"
"204","67","561","2020-12-13 02:19:16"
"205","14","751","1981-07-07 04:54:18"
"206","17","1190","2004-03-09 23:50:02"
"207","96","132","2020-06-10 08:57:32"
"208","61","1321","2016-04-14 03:37:16"
"209","34","717","1985-06-22 19:07:10"
"210","73","1761","1991-08-13 14:36:05"
