"1","49","1079","9","67","False"
"1","55","464","9","21","False"
"1","67","1094","6","52","False"
"1","57","1782","7","84","False"
"2","77","1389","4","98","False"
"2","50","1040","4","53","False"
"2","86","1279","5","76","False"
"2","80","1890","6","35","False"
"3","20","865","7","71","False"
"3","67","1277","4","86","False"
"4","61","1484","7","62","False"
"4","95","1967","9","36","False"
"4","80","550","6","14","False"
"4","20","1531","2","63","False"
"4","43","1241","7","22","False"
"4","53","548","8","45","False"
"4","88","1187","3","59","False"
"4","80","197","4","20","False"
"4","74","262","3","78","False"
"5","48","1174","8","68","False"
"5","40","1003","4","61","False"
"5","63","1195","1","21","False"
"5","5","1162","9","31","False"
"5","86","1212","3","78","False"
"5","40","361","1","44","False"
"5","30","1009","3","83","False"
"5","86","1405","10","80","False"
"6","25","1508","8","22","False"
"6","42","793","6","46","False"
"6","5","65","5","100","False"
"6","63","64","7","55","False"
"7","89","1564","6","39","False"
"7","67","705","6","68","False"
"7","67","837","7","87","False"
"7","57","1508","10","62","False"
"7","77","303","5","87","False"
"7","80","136","6","32","False"
"7","95","1803","2","31","False"
"7","77","450","8","64","False"
"8","43","1460","3","96","False"
"8","25","1395","1","33","False"
"9","25","950","4","90","False"
"9","42","549","3","74","False"
"9","61","840","1","65","False"
"9","30","179","1","100","False"
"9","50","65","5","46","False"
"9","80","330","10","34","False"
"9","67","1155","9","50","False"
"10","70","1567","7","75","False"
"10","67","1614","7","19","False"
"10","20","1877","8","64","False"
"10","80","369","2","25","False"
"11","67","1721","9","92","False"
"11","86","114","9","93","False"
"11","20","177","7","84","False"
"11","77","1036","7","93","False"
"11","30","181","10","27","False"
"11","61","1464","3","22","False"
"11","25","1575","7","39","False"
"11","5","756","7","49","False"
"11","18","1438","9","47","False"
"11","30","990","8","26","False"
"12","25","1941","3","53","False"
"12","29","1344","3","23","False"
"12","49","1706","8","16","False"
"12","89","1038","7","25","False"
"12","89","1025","5","48","False"
"12","67","1633","8","48","False"
"12","29","1708","4","68","False"
"13","20","280","8","50","False"
"13","25","1813","3","27","False"
"13","63","921","2","80","False"
"14","48","358","6","22","False"
"14","43","196","10","25","False"
"14","89","154","10","13","False"
"14","53","164","5","86","False"
"14","77","1705","1","14","False"
"14","88","1192","6","93","False"
"14","5","308","3","55","False"
"14","29","125","1","12","False"
"14","53","828","1","23","False"
"15","63","1856","8","72","False"
"15","49","1597","7","29","False"
"15","48","1531","3","76","False"
"15","29","195","10","72","False"
"15","18","1343","8","37","False"
"15","43","806","5","45","False"
"15","95","1321","8","97","False"
"15","48","1808","9","39","False"
"16","57","1062","1","83","False"
"16","67","12","2","99","False"
"16","48","601","9","32","False"
"16","40","196","8","58","False"
"16","49","1963","8","75","False"
"16","77","982","9","99","False"
"16","30","2","2","54","False"
"16","30","116","6","53","False"
"16","70","1911","10","94","False"
"17","63","1482","3","53","False"
"17","55","1911","2","19","False"
"17","20","1947","6","15","False"
