"1","20","1491","4","35.24","True","2023-07-25 21:42:28"
"1","89","1832","10","61.20","True","2023-07-22 14:53:32"
"1","59","722","6","81.14","True","2023-07-25 14:05:38"
"1","15","1657","6","38.43","True","2023-07-27 22:01:19"
"1","73","1858","4","19.02","True","2023-07-27 05:29:15"
"1","60","654","4","88.68","True","2023-07-24 05:15:35"
"1","33","719","3","13.49","True","2023-07-24 13:42:32"
"1","25","241","5","35.95","True","2023-07-29 22:05:15"
"2","41","605","4","53.68","True","2023-09-27 16:27:50"
"2","16","715","2","55.10","True","2023-10-02 11:34:04"
"2","31","1881","2","39.84","True","2023-10-01 14:09:59"
"2","18","510","9","97.05","True","2023-10-06 13:32:01"
"2","1","1770","7","46.85","True","2023-10-08 05:52:34"
"2","60","1678","9","35.30","True","2023-10-07 01:43:54"
"2","46","1188","2","39.26","True","2023-09-26 14:15:53"
"2","60","1851","2","79.44","True","2023-10-01 02:09:53"
"3","51","1137","3","46.62","False","2023-12-08 20:05:52"
"3","86","417","8","46.22","True","2023-12-05 23:45:02"
"3","18","396","4","14.38","True","2023-12-06 16:39:27"
"3","20","653","9","35.17","True","2023-12-06 04:49:27"
"3","90","864","1","85.25","True","2023-12-08 00:41:13"
"3","45","702","1","23.27","True","2023-12-06 13:54:41"
"3","22","439","7","93.81","False","2023-12-07 09:39:09"
"3","43","1375","4","96.01","False","2023-12-06 15:18:09"
"3","13","1329","3","17.30","True","2023-12-08 13:45:31"
"3","9","1657","2","10.91","False","2023-12-07 01:34:51"
"4","43","503","4","40.50","True","2022-12-16 18:27:58"
"4","13","313","4","89.66","True","2022-12-22 19:02:30"
"4","13","333","10","12.36","True","2022-12-19 08:57:35"
"4","59","96","1","75.95","True","2022-12-22 13:49:26"
"4","31","746","7","36.25","True","2022-12-16 19:05:06"
"4","9","1852","2","57.63","True","2022-12-21 13:10:13"
"5","16","1842","9","22.46","True","2023-01-27 12:08:55"
"5","16","1563","7","49.11","True","2023-01-29 18:16:12"
"5","97","364","9","85.73","True","2023-02-04 01:27:52"
"5","86","307","1","53.85","True","2023-01-28 20:30:09"
"5","60","708","1","46.99","True","2023-01-26 22:37:23"
